Column1,Name,Description,Type,Reference,Sports,Spiritual,
0,Badminton,"Badminton Club offers a weekly opportunity for students to play badminton and network with others.  Whether you are new to the sport or highly skilled, everyone is welcome. All equipment is provided.",Group,https://sites.duke.edu/prattgsps/student-clubs/,1,0,
1,Bean Together Coffee,"Bean Together Coffee Club fosters wellness and community-building by hosting coffee events. By exploring coffee’s many flavors and permutations as a group, and by structuring our events around poetry recitation, discussion topics, and other community-building techniques, we will encourage attendees to develop new friendships and improve their mental well-being.",Group,https://sites.duke.edu/prattgsps/student-clubs/,0,0,
2,Dance,Dance Club unites the members of the engineering community through different types of dance from a wide range of cultures and backgrounds.,Group,https://sites.duke.edu/prattgsps/student-clubs/,0,0,
3,Diversity and Culture,"Diversity and Culture Club seeks to connect students, faculty, and staff from all different backgrounds and engineering concentrations with exciting social events celebrating various cultures.  The club also seeks to foster awareness of diversity in STEM  through education and empowerment.",Group,https://sites.duke.edu/prattgsps/student-clubs/,0,0,
4,Media,"Media Club engages our students interested in expressing themselves through photography and cinematography. Participants can attend photo editing workshops, learn techniques, and collaborate with others on fun photography projects. No experience or special equipment needed. They love to remind you that the “best” camera is the one you have with you. Learn more here.",Group,https://sites.duke.edu/prattgsps/student-clubs/,0,0,
5,Sports,"Sports Club provides a safe and inclusive community where students can participate in sports and physical activities that enhance their personal, social, and physical well-being. They aim to foster a sense of belonging and teamwork through sports, and to create opportunities for skill development, competition, and leadership. Learn more here.",Group,https://sites.duke.edu/prattgsps/student-clubs/,1,0,
6,Sustainability,"Sustainability Club aims to inspire and engage master’s community in making positive changes for the environment and future generations by promoting awareness and education on all aspects of sustainability, including relevant topics in climate tech and the growing career opportunities within this field.",Group,https://sites.duke.edu/prattgsps/student-clubs/,0,0,
7,Engineering Master’s Programs Student Advisory Board,"The Engineering Master’s Programs Student Advisory Board (SAB) is comprised of students who represent the various engineering master’s programs and departments at the Pratt School of Engineering. SAB members are the voice for their engineering community, and provide school leadership with valuable insight by expressing the needs and ideas of our students. Using that feedback, they team with the Graduate Student Programs and Services staff to build a strong and vibrant engineering master’s programs community.",Board,https://sites.duke.edu/prattgsps/engineering-masters-programs-student-advisory-board/,0,0,
8,Climate Crisis Committee (CCC),"If you want to see a truly green Duke University, join GPSG’s Climate Crisis Committee! We work on issues all across campus like divesting our endowment from fossil fuels, improving mental health resources to cope with climate change, advancing environmental justice commitments, and reducing waste from graduate and professional programs. Join us to help us build a more sustainable and equitable future!",Committee,https://gpsg.duke.edu/committees/,0,0,
9,"Diversity, Equity, and Inclusion Committee (DEI)","The GPSG DEI Committee is tasked with identifying ways to continuously promote diversity, equity, and inclusion on campus. One major way this is accomplished is through connecting with DEI leaders across campus, be they students, faculty, or staff. Members of the DEI Committee work to impart meaningful change on campus through conversations with administration, passing key resolutions through the GPSG assembly, and collaboration with other student groups both within and without the GPSG body. As issues of Diversity, Equity, and Inclusion can touch many aspects of student life, the DEI Committee is open to approach about any topic.",Committee,https://gpsg.duke.edu/committees/,0,0,
